"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"lksponut  ","P",03/03/2017 11:15,0,1,1         ,1         ,"{CIP}",0.0060,<1> [GQS] (CSM) ,0.08,<-3> [GQD] (CSM) ,"",<-2> [GDM] ,"",<-2> [GCM] ,1.316,<-3> [GQD] (CSM) ,0.6,<0>  ,
"lksponut  ","P",03/03/2017 11:16,0,1,1         ,2         ,"{CIP}",0.0050,<1> [GQS] (CSM) ,0.068,<-3> [GQD] (CSM) ,"",<-2> [GDM] ,"",<-2> [GCM] ,1.346,<-3> [GQD] (CSM) ,1.3,<0>  ,
"lksponut  ","P",04/22/2017 10:50,0,1,1         ,1         ,"",0.017,<1> [GQS] (CSM) ,0.067,<1> [GQS] (CSM) ,0.0080,<1> [GQS] (CSM) ,0.456,<-3> [GCR] ,0.464,<-3> [GQD] (CSM) ,1.3,<0> (CHB) ,
"lksponut  ","P",04/22/2017 10:51,0,1,1         ,2         ,"",0.013,<1> [GQS] (CSM) ,0.061,<1> [GQS] (CSM) ,0.019,<1> [GQS] (CSM) ,0.358,<-3> [GCR] ,0.377,<-3> [GQD] (CSM) ,1.3,<0> (CHB) ,
"lksponut  ","P",05/24/2017 10:49,0,1,1         ,1         ,"","",<-2> [GDM] (CSM) ,0.011,<1> [GQS] (CSM) ,0.0050,<1> [SBL] (CSM) ,0.012,<-3> [GCR] ,0.017,<-3> [GQD] (CHB) ,1.5,<0>  ,
"lksponut  ","P",05/24/2017 10:50,0,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,0.01,<1> [SBL] (CSM) ,0.0050,<1> [SBL] (CSM) ,0.02,<-3> [GCR] ,0.025,<-3> [GQD] (CHB) ,1.8,<0>  ,
"lksponut  ","P",06/29/2017 10:44,0,1,1         ,1         ,"","",<-2> [GDM] (CSM) ,0.037,<-3> [GQD] (CSM) ,0.0050,<1> [SBL] (CSM) ,0.04,<-3> [GCR] ,0.045,<-3> [GQD] (CSM) ,7.4,<0>  ,
"lksponut  ","P",06/29/2017 10:47,0,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,0.023,<-3> [GQD] (CSM) ,0.0050,<1> [SBL] (CSM) ,0.038,<-3> [GCR] ,0.043,<-3> [GQD] (CSM) ,7.6,<0>  ,
"lksponut  ","P",07/25/2017 10:33,0,1,1         ,1         ,"{CSM}","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,5.1,<0>  ,
"lksponut  ","P",07/25/2017 10:34,0,1,1         ,2         ,"{CSM}","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,5.9,<0>  ,
"lksponut  ","P",08/28/2017 10:21,0,1,1         ,1         ,"",0.0030,<-4> [SBL] (CHB) ,0.01,<1> [SBL] (CSM) ,0.0090,<0> (CHB) ,0.068,<0> (CHB) ,0.077,<0> (CHB) ,1.1,<0>  ,
"lksponut  ","P",08/28/2017 10:23,0,1,1         ,2         ,"",0.0030,<-4> [SBL] (CHB) ,0.01,<1> [SBL] (CSM) ,0.01,<0> (CHB) ,0.078,<0> (CHB) ,0.088,<0> (CHB) ,1.3,<0>  ,
"lksponut  ","P",09/22/2017 12:10,0,1,1         ,1         ,"",0.023,<0> (CHB) ,0.039,<1> [GQS] (CHB) ,0.011,<0> (CHB) ,0.049,<0> (CHB) ,0.06,<0> (CHB) ,2.1,<0> (CHB) ,
"lksponut  ","P",09/22/2017 12:11,0,1,1         ,2         ,"",0.028,<0> (CHB) ,0.053,<1> [GQS] (CHB) ,0.014,<0> (CHB) ,0.042,<0> (CHB) ,0.056,<0> (CHB) ,1.8,<0> (CHB) ,
"lksponut  ","P",10/18/2017 10:30,0,1,1         ,1         ,"",0.037,<0>  ,0.054,<1> [GQS] (CSM) ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.077,<0>  ,0.4,<0>  ,
"lksponut  ","P",10/18/2017 10:31,0,1,1         ,2         ,"",0.03,<0>  ,0.12,<1> [GQS] (CSM) ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.07,<0>  ,0.3,<0>  ,

